DEPARTAMENTO,NOM_EST,CODIGO,LON,LAT,ALT
JUNIN,HUAYAO,qc00000635,75.33805556,12.03833333,3360
LIMA,PACARAN,qc00000638,76.05792778,12.86689167,684
ICA,HUAMANI,qc00000640,75.60703611,13.843,790
HUANCAVELICA,TUNEL CERO,qc00000647,75.08596111,13.25931667,4498
ICA,HACIENDA BERNALES,qc00000650,75.96640556,13.74113611,293
HUANCAVELICA,LIRCAY,qc00000657,74.71808333,12.98194444,3360
HUANCAVELICA,ACOBAMBA,qc00000659,74.56027778,12.85305556,3236
APURIMAC,CURAHUASI,qc00000677,72.73472222,13.55222222,2763
CUSCO,PARURO,qc00000686,71.84472222,13.7675,3084
CUSCO,ACOMAYO,qc00000687,71.68361111,13.91694444,3160
CUSCO,CCATCCA,qc00000690,71.56027778,13.61,3729
ICA,SAN CAMILO,qc00000700,75.71100833,14.07330833,407
PUNO,PUNO,qc00000708,70.01208333,15.82625,3812
ICA,COPARA,qc00000727,74.89081944,14.97501111,587
ICA,OCUCAJE,qc00000730,75.68208333,14.37843889,311
AYACUCHO,PUQUIO,qc00000736,74.13159722,14.699275,3168
AYACUCHO,CORACORA,qc00000743,73.77944722,15.01194444,3156
AYACUCHO,PAUZA,qc00000745,73.34113333,15.275325,2477
AREQUIPA,CARAVELI,qc00000746,73.36258611,15.77568056,1755
AREQUIPA,COTAHUASI,qc00000749,72.89325278,15.21133611,2683
AREQUIPA,LA ANGOSTURA,qc00000754,71.65123333,15.18253056,4258
AREQUIPA,SIBAYO,qc00000755,71.463775,15.494275,3806
AREQUIPA,CHIVAY,qc00000758,71.60168889,15.64162778,3644
PUNO,PAMPAHUTA,qc00000762,70.67577778,15.48352778,4400
PUNO,CHUQUIBAMBILLA,qc00000764,70.71569444,14.78477778,3971
AREQUIPA,IMATA,qc00000765,71.09061667,15.84265556,4475
PUNO,AYAVIRI,qc00000776,70.59288889,14.87266667,3928
PUNO,PROGRESO,qc00000778,70.02352778,14.69011111,3980
PUNO,LAMPA,qc00000779,70.37211111,15.67344444,3892
PUNO,CABANILLAS,qc00000780,69.96988889,15.16958333,3920
PUNO,AZANGARO,qc00000781,70.19075,14.91436111,3863
PUNO,ARAPA,qc00000783,70.11822222,15.13625,3830
PUNO,MUNANI,qc00000785,69.95180556,14.76694444,3948
PUNO,HUANCANE,qc00000786,69.75355556,15.2015,3890
PUNO,HUARAYA MOHO,qc00000787,69.48427778,15.38827778,3890
PUNO,CAPACHICA,qc00000788,69.83213889,15.60636111,3828
AREQUIPA,SALAMANCA,qc00000801,72.83333333,15.5,3203
PUNO,CRUCERO ALTO,qc00000803,70.91241667,15.76446111,4521
AREQUIPA,LA JOYA,qc00000804,71.92463611,16.58358611,1278
AREQUIPA,PAMPA DE MAJES,qc00000805,72.15265556,16.33565278,1498
MOQUEGUA,MOQUEGUA,qc00000806,70.93166667,17.16916667,1450
TACNA,CALANA,qc00000807,70.18611111,17.94888889,871
CUSCO,CAY CAY,qc00000809,71.70027778,13.60027778,3150
PUNO,PUCARA,qc00000815,70.36663889,15.04561111,3900
PUNO,ISLA TAQUILE,qc00000818,69.691,15.72047222,3850
PUNO,SANTA ROSA,qc00000823,70.78652778,14.62375,3986
PUNO,ANANEA,qc00000826,69.53452778,14.67872222,4660
PUNO,COJATA,qc00000827,69.35555556,15.01666667,4344
AREQUIPA,PUNTA ATICO,qc00000830,73.69416667,16.22833333,20
AREQUIPA,APLAO,qc00000833,72.49225833,16.07287778,618
AREQUIPA,PAMPA BLANCA,qc00000837,71.72453889,17.07146944,106
AREQUIPA,LA PAMPILLA,qc00000839,71.53453056,16.41379444,2326
MOQUEGUA,ILO,qc00000840,71.28805556,17.62694444,75
CUSCO,PISAC,qc00000844,71.84972222,13.41611111,2950
MOQUEGUA,PUNTA COLES,qc00000846,71.37361111,17.69866667,25
AREQUIPA,CHIGUATA,qc00000847,71.40938889,16.40644722,2902
AREQUIPA,EL FRAYLE,qc00000849,71.18910278,16.15481944,4131
MOQUEGUA,UBINAS,qc00000851,70.85394444,16.37205556,3380
TACNA,LOCUMBA,qc00000853,70.76222222,17.60972222,550
TACNA,CHUAPALCA,qc00000860,69.64361111,17.305,4177
AREQUIPA,YANAQUIHUA,qc00000864,72.88277778,15.78305556,3130
TACNA,SAMA GRANDE,qc00000875,70.48833333,17.78394444,534
TACNA,TARATA,qc00000877,70.03388889,17.47416667,3050
PUNO,MAZO CRUZ,qc00000878,69.71547222,16.739,4003
PUNO,ILAVE,qc00000879,69.66194444,16.0675,3871
PUNO,JULI,qc00000880,69.45991667,16.20377778,3812
PUNO,PIZACOMA,qc00000881,69.36855556,16.90702778,3930
PUNO,TAHUACO - YUNGUYO,qc00000882,69.07472222,16.30783333,3891
PUNO,DESAGUADERO,qc00000883,69.03883333,16.56335,3808
SAN MARTIN,ALAO,qc00003308,76.73,6.518888889,420
SAN MARTIN,PONGO DE CAYNARACHI,qc00003317,76.30027778,6.333611111,230
HUANCAVELICA,SALCABAMBA,qc00006200,74.78583333,12.19944444,3280
AREQUIPA,MACHAHUAY,qc00007308,72.50222222,15.64527778,3150
PUNO,CRUCERO,qc00007415,70.02591667,14.36419444,4183
PIURA,SAN PEDRO,qc00150001,80.01621389,5.079536111,240
ANCASH,MILPO,qc00150902,77.23333333,9.883333333,4400
TUMBES,EL TIGRE,qc00151100,80.45666667,3.802333333,45
LIMA,ARAHUAY,qc00151204,76.7,11.61666667,2800
LIMA,HUANCATA,qc00151207,76.24065833,12.18617778,2684
LIMA,GORGOR,qc00151208,77.04026389,10.62135833,3025
LIMA,LANGA,qc00151214,76.421075,12.12645278,2863
LORETO,FRANCISCO ORELLANA,qc00151500,72.76666667,3.423333333,137
HUANCAVELICA,HUACHOS,qc00151503,75.533475,13.2206,2744
PIURA,BERNAL,qc00152100,80.74262222,5.454494444,14
PIURA,PANANGA,qc00152101,80.73944444,4.515563889,360
PIURA,LANCONES,qc00152103,80.547175,4.642877778,133
PIURA,SAPILLICA,qc00152106,79.98178056,4.778169444,1466
LAMBAYEQUE,VIRREY,qc00152107,79.98232778,5.533702778,208
PIURA,HACIENDA BIGOTE,qc00152111,79.7857,5.3209,198
PIURA,SONDORILLO,qc00152126,79.43136944,5.339794444,1917
PIURA,TULUCE,qc00152127,79.34741944,5.477175,2233
PIURA,HACIENDA SHUMAYA,qc00152128,79.36055833,5.366808333,1991
CAJAMARCA,SALLIQUE,qc00152129,79.31694444,5.650277778,1750
PIURA,PORCULLA,qc00152132,79.50572222,5.839638889,2142
LORETO,SANTA RITA DE CASTILLA,qc00152401,74.37380278,4.613875,100
LORETO,BRETANA,qc00152402,74.35638333,5.265675,200
LORETO,BAGAZAN,qc00152406,73.60376667,4.759633333,250
LORETO,SANTA MARIA DE NANAY,qc00152409,73.69616667,3.8894,120
LA LIBERTAD,CALLANCAS,qc00153101,78.477275,7.767466667,1501
LAMBAYEQUE,CUEVA BLANCA,qc00153102,79.4045,6.1313,3300
CAJAMARCA,TOCMOCHE,qc00153103,79.35583333,6.408055556,1435
CAJAMARCA,HACIENDA PUCARA,qc00153107,79.13388889,6.041666667,1061.6
CAJAMARCA,QUEBRADA SHUGAR,qc00153108,78.45694444,6.687777778,3292.7
CAJAMARCA,QUEROCOTILLO,qc00153109,79.03695556,6.273655556,1970
CAJAMARCA,UDIMA,qc00153110,79.09376667,6.814744444,2466
CAJAMARCA,LIVES,qc00153111,79.04045278,7.080197222,1931
LAMBAYEQUE,PUCHACA,qc00153114,79.46694444,6.350277778,800
CAJAMARCA,SAN BENITO,qc00153201,78.92673333,7.428191667,1317
CAJAMARCA,CHILETE,qc00153203,78.83798889,7.219680556,848
LA LIBERTAD,SINSICAP,qc00153206,78.75503056,7.850208333,2315
CAJAMARCA,CHUGUR,qc00153208,78.73716944,6.670911111,2757
CAJAMARCA,CACHACHI,qc00153223,78.26855,7.451063889,3203
SAN MARTIN,DOS DE MAYO (J. OLAYA),qc00153225,76.40611111,7.407777778,290
SAN MARTIN,SORITOR,qc00153226,77.09472222,6.145277778,890
SAN MARTIN,JEPELACIO,qc00153300,76.90277778,6.115416667,1000
SAN MARTIN,SAN PABLO,qc00153307,76.57305556,6.809444444,270
SAN MARTIN,CUNUMBUQUE,qc00153311,76.50027778,6.500277778,280
SAN MARTIN,NUEVO LIMA,qc00153312,76.48277778,7.126111111,260
SAN MARTIN,PICOTA,qc00153313,76.33361111,6.933611111,200
SAN MARTIN,SAN ANTONIO,qc00153314,76.41694444,6.416944444,430
LORETO,SHANUSI,qc00153315,76.25861111,6.071388889,160
SAN MARTIN,PILLUANA,qc00153316,76.28055556,6.778611111,195
SAN MARTIN,CHAZUTA,qc00153319,76.09833333,6.568888889,160
SAN MARTIN,PUCALLPA - HUIMBAYOC,qc00153320,75.84555556,6.452777778,120
SAN MARTIN,PELEJO,qc00153322,75.79,6.215555556,100
LA LIBERTAD,HUANGACOCHA,qc00153327,78.06810833,7.937608333,3763
LA LIBERTAD,JULCAN,qc00154101,78.48606944,8.042286111,3385
LA LIBERTAD,QUIRUVILCA,qc00154102,78.30791111,8.004222222,4047
LA LIBERTAD,CACHICADAN,qc00154103,78.14938333,8.091844444,2900
LA LIBERTAD,MOLLEPATA,qc00154106,77.95397222,8.191369444,2708
ANCASH,CHACCHAN,qc00154107,77.77535833,9.535188889,2266
ANCASH,PIRA,qc00154110,77.70719444,9.585277778,3625
ANCASH,SIHUAS,qc00154111,77.65,8.566666667,2716
LA LIBERTAD,HUACAMARCANGA,qc00154112,78.29305556,8.121388889,3883
ANCASH,OCROS,qc00155105,77.40025,10.40457222,3249
LIMA,PAMPA LIBRE,qc00155107,76.97,10.86577778,1756
LIMA,PARIACANCHA,qc00155112,76.50270556,11.39356667,3842
JUNIN,CARHUACAYAN,qc00155115,76.28504722,11.20267222,4127
JUNIN,YANTAC,qc00155121,76.40453056,11.345825,4617
LIMA,AUTISHA,qc00155122,76.61102778,11.73814722,2181
LIMA,PACCHO,qc00155200,76.93333333,10.95,3250
LIMA,ANDAJES,qc00155201,76.9,10.78333333,3950
LIMA,SANTA CRUZ,qc00155202,76.63486111,11.19827222,3583
LIMA,PALLAC,qc00155205,76.80803889,11.34873889,2367
LIMA,HUAMANTANGA,qc00155209,76.75,11.5,3392
LIMA,PARQUIN,qc00155212,76.719825,10.96665278,3571
LIMA,SANTA EULALIA,qc00155213,76.66663889,11.92,970
LIMA,PIRCA,qc00155214,76.65513333,11.23280278,3342
LIMA,LACHAQUI,qc00155217,76.62843889,11.55327222,3670
LIMA,HUAROS,qc00155218,76.57580278,11.40743056,3569
LIMA,CARAMPOMA,qc00155223,76.51513611,11.65502778,3424
LIMA,SANTIAGO DE TUNA,qc00155224,76.52414722,11.98311111,2924
JUNIN,RICRAN,qc00155229,75.52388889,11.53944444,3820
JUNIN,INGENIO,qc00155231,75.28777778,11.88083333,3390
LIMA,ANTIOQUIA,qc00156100,76.5,12.08333333,1839
LIMA,SAN LAZARO DE ESCOMARCA,qc00156102,76.35207222,12.18088333,3758
LIMA,HUANEC,qc00156103,76.13902222,12.29358611,3200
LIMA,AYAVIRI,qc00156104,76.13672222,12.38208056,3224
LIMA,TANTA,qc00156106,76.01666667,12.11666667,4323
LIMA,CARANIA,qc00156109,75.87215,12.34439722,3820
LIMA,VILCA,qc00156111,75.82616944,12.11456667,3832
ICA,SAN JUAN DE YANAC,qc00156113,75.78696944,13.21058056,2513
HUANCAVELICA,SAN JUAN DE CASTROVIRREYNA,qc00156114,75.62758333,13.21197778,1856
HUANCAVELICA,TAMBO,qc00156122,75.27418056,13.69162778,3138
HUANCAVELICA,SANTIAGO DE CHOCORVOS,qc00156123,75.25083333,13.83308333,2700
HUANCAVELICA,HUANCALPI,qc00156126,75.23666667,12.53944444,3450
HUANCAVELICA,CHOCLOCOCHA,qc00156130,75.07145,13.10880278,4547
AYACUCHO,VILCASHUAMAN,qc00156211,73.93444444,13.64833333,3656
AYACUCHO,CHILCAYOC,qc00156212,73.72658333,13.88257222,3400
CUSCO,COLQUEPATA,qc00156306,71.67305556,13.36305556,3729
HUANCAVELICA,CORDOVA,qc00157101,75.186975,14.04060833,3225
ICA,PAMPA BLANCA,qc00157102,75.103975,14.23730833,1020
AYACUCHO,LLAUTA,qc00157200,74.92555556,14.24638889,2445
AYACUCHO,LUCANAS,qc00157206,74.22000278,14.62000278,3354
AYACUCHO,LAMPA,qc00157223,73.34786389,15.18468056,2790
AREQUIPA,CHICHAS,qc00157300,72.91831389,15.54811389,2170
AREQUIPA,PULLHUAY (AYAHUASI),qc00157309,72.75277778,15.13583333,3455
AREQUIPA,ANDAHUA,qc00157310,72.35509722,15.5009,3562
AREQUIPA,ORCOPAMPA,qc00157311,72.33861111,15.26055556,3779
AREQUIPA,CHACHAS,qc00157312,72.26852222,15.50242222,3071
AREQUIPA,AYO,qc00157313,72.27027778,15.67916667,1956
AREQUIPA,CHOCO,qc00157314,72.12932222,15.57496944,2428
AREQUIPA,HUAMBO,qc00157315,72.106925,15.73200556,3312
AREQUIPA,MADRIGAL,qc00157317,71.80654444,15.60998889,3276
AREQUIPA,PORPERA,qc00157329,71.31666667,15.35,4195
PUNO,PUTINA,qc00157414,69.86802778,14.91488889,3878
PUNO,CUYO CUYO,qc00157418,69.549,14.48891667,3414
AREQUIPA,PILLONES,qc00158208,71.21333333,15.97861111,4455
AREQUIPA,LAS SALINAS,qc00158209,71.14805556,16.31777778,4378
MOQUEGUA,QUINISTAQUILLAS,qc00158301,70.89777778,16.77944444,1590
MOQUEGUA,CALACOA,qc00158308,70.6828,16.735,3260
MOQUEGUA,ICHUNA,qc00158310,70.55208333,16.13261111,3800
TACNA,SUSAPAYA,qc00158317,70.13333333,17.351,3433
TACNA,SITAJARA,qc00158318,70.13555556,17.3725,3132
TACNA,PALCA,qc00158321,69.96583333,17.77916667,2953
TACNA,TALABAYA,qc00158323,69.99972222,17.55916667,3420
TACNA,TOQUELA,qc00158325,69.94888889,17.66083333,3566
PUNO,CAPAZO,qc00158326,69.7355,17.18772222,4530
TACNA,CHALLAPALCA,qc00158327,69.81305556,17.23722222,4280
TACNA,PAUCARANI,qc00158328,69.77944444,17.525,4609
